Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
mens-alpine-jacket,[BRANDNAME] Alpine Ski Jacket — Men's,"<p><strong>Built for the mountain. Priced for real life.</strong></p><p>The Alpine Jacket delivers serious waterproof protection (10,000mm) and breathability (5,000 g/m²) at a price that won't empty your wallet. Fully sealed seams, YKK zippers, adjustable hood and cuffs, and plenty of pockets for everything you need on the slopes.</p><ul><li>Waterproof: 10,000mm</li><li>Breathability: 5,000 g/m²</li><li>Fully sealed seams</li><li>YKK zippers throughout</li><li>Adjustable hood, cuffs, and hem</li><li>Ski pass pocket on left sleeve</li><li>Inner goggle pocket</li><li>Snow skirt with snap closure</li></ul><p><strong>Material:</strong> 100% Polyester with DWR coating<br><strong>Lining:</strong> 100% Polyester<br><strong>Insulation:</strong> 80g synthetic fill</p><p>Part of the [BRANDNAME] Alpine Collection. <a href='/pages/size-guide'>Size Guide →</a></p>",[BRANDNAME],Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Ski Jacket,"men, jacket, ski, winter, waterproof, alpine",TRUE,Size,S,Color,Black,MJ-ALP-BLK-S,1200,shopify,50,deny,manual,129.00,199.00,TRUE,TRUE,,1,Men's Alpine Ski Jacket Black Front,"Men's Waterproof Ski Jacket | [BRANDNAME]","Waterproof 10,000mm ski jacket for men. Sealed seams, YKK zippers, adjustable hood. Free shipping over €99. EU-registered company.",active
mens-alpine-jacket,,,,,,,,Size,M,Color,Black,MJ-ALP-BLK-M,1250,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,L,Color,Black,MJ-ALP-BLK-L,1300,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,XL,Color,Black,MJ-ALP-BLK-XL,1350,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,XXL,Color,Black,MJ-ALP-BLK-XXL,1400,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,S,Color,Navy,MJ-ALP-NAV-S,1200,,50,deny,manual,129.00,199.00,TRUE,TRUE,,2,Men's Alpine Ski Jacket Navy Front,,,
mens-alpine-jacket,,,,,,,,Size,M,Color,Navy,MJ-ALP-NAV-M,1250,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,L,Color,Navy,MJ-ALP-NAV-L,1300,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,XL,Color,Navy,MJ-ALP-NAV-XL,1350,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
mens-alpine-jacket,,,,,,,,Size,XXL,Color,Navy,MJ-ALP-NAV-XXL,1400,,50,deny,manual,129.00,199.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,[BRANDNAME] Alpine Ski Jacket — Women's,"<p><strong>Built for the mountain. Priced for real life.</strong></p><p>The Women's Alpine Jacket combines a tailored fit with serious weather protection. 10,000mm waterproofing, breathable fabric, and a feminine cut that doesn't sacrifice performance. Fully sealed seams, YKK zippers, and smart pocket placement.</p><ul><li>Waterproof: 10,000mm</li><li>Breathability: 5,000 g/m²</li><li>Fully sealed seams</li><li>YKK zippers throughout</li><li>Adjustable hood, cuffs, and hem</li><li>Ski pass pocket on left sleeve</li><li>Inner goggle pocket</li><li>Snow skirt with snap closure</li><li>Tailored women's fit</li></ul><p><strong>Material:</strong> 100% Polyester with DWR coating<br><strong>Lining:</strong> 100% Polyester<br><strong>Insulation:</strong> 80g synthetic fill</p><p>Part of the [BRANDNAME] Alpine Collection. <a href='/pages/size-guide'>Size Guide →</a></p>",[BRANDNAME],Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Ski Jacket,"women, jacket, ski, winter, waterproof, alpine",TRUE,Size,XS,Color,Black,WJ-ALP-BLK-XS,950,shopify,50,deny,manual,139.00,219.00,TRUE,TRUE,,1,Women's Alpine Ski Jacket Black Front,"Women's Waterproof Ski Jacket | [BRANDNAME]","Waterproof 10,000mm women's ski jacket. Tailored fit, sealed seams, YKK zippers. Free shipping over €99. EU-registered company.",active
womens-alpine-jacket,,,,,,,,Size,S,Color,Black,WJ-ALP-BLK-S,1000,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,M,Color,Black,WJ-ALP-BLK-M,1050,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,L,Color,Black,WJ-ALP-BLK-L,1100,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,XL,Color,Black,WJ-ALP-BLK-XL,1150,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,XS,Color,Dusty Rose,WJ-ALP-RSE-XS,950,,50,deny,manual,139.00,219.00,TRUE,TRUE,,2,Women's Alpine Ski Jacket Dusty Rose Front,,,
womens-alpine-jacket,,,,,,,,Size,S,Color,Dusty Rose,WJ-ALP-RSE-S,1000,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
womens-alpine-jacket,,,,,,,,Size,M,Color,Dusty Rose,WJ-ALP-RSE-M,1050,,50,deny,manual,139.00,219.00,TRUE,TRUE,,,,,,
